epoch:0 1 7 2 3 1 3 5 7 3 4376.0 4294967295.0 -0.07489275067258044
epoch:1 7 1 1 4 1 4 2 2 3 4215.0 4294967295.0 -0.0631862139169635
epoch:2 5 0 0 4 7 3 0 4 7 6060.0 4294967295.0 -0.19733876245182863
epoch:3 6 2 1 4 0 0 1 0 1 4967.0 4294967295.0 -0.11786519304878929
epoch:4 0 3 5 5 2 2 2 1 0 5558.0 4294967295.0 -0.16083763542499813
epoch:5 7 2 6 0 3 5 2 3 4 4532.0 4294967295.0 -0.0862357303860975
epoch:6 7 3 5 7 6 0 4 6 6 4667.0 4294967295.0 -0.09605177052279495
epoch:7 3 7 1 3 6 3 0 4 1 6434.0 4294967295.0 -0.2245328292009015
epoch:8 5 5 5 2 6 0 4 1 5 6358.0 4294967295.0 -0.21900676216098297
epoch:9 1 1 4 0 1 5 7 7 5 6199.0 4294967295.0 -0.20744564822220596
epoch:10 4 0 6 7 5 6 6 3 1 7538.0 4294967295.0 -0.3048062240965607
epoch:11 7 3 3 5 3 3 6 5 0 5137.0 4294967295.0 -0.13022613248018605
epoch:12 1 3 6 0 5 1 6 1 0 7882.0 4294967295.0 -0.3298189485930341
epoch:13 4 6 3 3 3 2 7 7 5 4088.0 4294967295.0 -0.05395186504762589
epoch:14 3 0 7 5 7 7 1 2 6 3628.0 4294967295.0 -0.02050461717443458
epoch:15 7 3 4 5 1 7 3 0 4 5501.0 4294967295.0 -0.1566930851450592
epoch:16 5 0 1 2 5 4 0 3 1 6440.0 4294967295.0 -0.22496909765142142
epoch:17 4 7 2 7 1 7 3 3 3 4962.0 4294967295.0 -0.11750163600668939
epoch:18 2 2 7 7 1 3 6 5 0 4620.0 4294967295.0 -0.09263433432705581
epoch:19 6 6 5 6 7 7 7 3 5 5066.0 4294967295.0 -0.1250636224823674
epoch:20 0 2 7 3 3 5 1 2 2 4105.0 4294967295.0 -0.05518795899076556
epoch:21 7 5 2 2 3 2 1 7 2 3092.0 4294967295.0 0.018468697738675266
epoch:22 6 5 0 4 6 4 7 7 6 4849.0 4294967295.0 -0.1092852468552315
epoch:23 3 7 4 1 2 7 1 6 0 4024.0 4294967295.0 -0.04929833490874708
epoch:24 3 2 3 4 1 3 7 7 2 3205.0 4294967295.0 0.010252308587217429
epoch:25 4 0 5 1 7 7 5 1 5 6524.0 4294967295.0 -0.2310768559586998
epoch:26 5 6 7 1 0 4 2 4 4 4432.0 4294967295.0 -0.0789645895440994
epoch:27 2 2 3 5 6 1 5 2 3 4690.0 4294967295.0 -0.09772413291645449
epoch:28 6 5 0 4 3 2 5 5 7 3895.0 4294967295.0 -0.039918563222569536
epoch:29 4 7 4 6 1 4 6 1 5 5808.0 4294967295.0 -0.17901548752999336
epoch:30 1 7 3 4 5 7 3 5 4 5540.0 4294967295.0 -0.15952883007343843
epoch:31 6 2 4 3 2 2 4 2 1 3292.0 4294967295.0 0.003926416054679083
epoch:32 7 1 7 7 4 5 1 3 2 3285.0 4294967295.0 0.004435395913618911
epoch:33 1 6 6 3 6 3 4 0 0 7029.0 4294967295.0 -0.2677961172107903
epoch:34 7 3 2 3 2 3 3 3 4 4478.0 4294967295.0 -0.08230931433141853
epoch:35 3 2 1 4 7 6 7 1 5 4042.0 4294967295.0 -0.05060714026030677
epoch:36 2 3 4 2 1 1 7 7 7 3533.0 4294967295.0 -0.013597033374536382
epoch:37 3 4 6 7 6 6 0 3 7 5785.0 4294967295.0 -0.17734312513633382
epoch:38 7 1 5 0 2 6 0 2 2 4519.0 4294967295.0 -0.08529048207663775
epoch:39 6 5 6 2 7 4 7 6 7 3433.0 4294967295.0 -0.006325892532538291
