take action 5
gain reward -0.049073114565342545
take action 2
gain reward 0.28426021876799085
take action 0
gain reward -0.2776280944156592
take action 7
gain reward 0.18616004605641914
take action 4
gain reward 0.024156591824985564
take action 5
gain reward -0.049073114565342545
take action 3
gain reward -0.040322394933793825
take action 0
gain reward -0.18148531951640764
take action 5
gain reward -0.049073114565342545
take action 4
gain reward 0.01874496257915951
take action 6
gain reward 0
take action 5
gain reward -0.049073114565342545
take action 2
gain reward 0.28426021876799085
take action 3
gain reward 0.07585492227979265
take action 3
gain reward -0.04354634427173284
take action 5
gain reward -0.049073114565342545
take action 2
gain reward -0.04538860103626937
take action 2
gain reward -0.048957973517559004
take action 3
gain reward -0.05045480713874503
take action 1
gain reward -0.049073114565342545
take action 2
gain reward -0.04619458837075415
take action 0
gain reward -0.16145077720207254
take action 3
gain reward 0.3433275762809442
take action 1
gain reward -0.0262751871042027
take action 5
gain reward -0.049073114565342545
take action 4
gain reward -0.01637305699481858
take action 5
gain reward -0.049073114565342545
take action 5
gain reward -0.049073114565342545
take action 6
gain reward 0
take action 7
gain reward -0.04504317789291886
take action 5
gain reward -0.049073114565342545
take action 3
gain reward -0.04527345998848594
take action 4
gain reward -0.048957973517559004
take action 1
gain reward -0.04366148531951638
take action 6
gain reward 0
take action 1
gain reward -0.048842832469775464
take action 5
gain reward -0.049073114565342545
take action 3
gain reward 0.08184225676453663
take action 4
gain reward 0.0277259643062752
take action 5
gain reward -0.049073114565342545
take action 4
gain reward -0.03491076568796777
take action 1
gain reward -0.048612550374208495
take action 4
gain reward -0.04630972941853769
take action 6
gain reward 0
take action 5
gain reward -0.049073114565342545
take action 4
gain reward 0.27677605066206107
take action 2
gain reward 0.03613126079447319
take action 0
gain reward -0.13853770869314905
take action 0
gain reward -0.161335636154289
take action 4
gain reward 0.053056994818652815
take action 2
gain reward 0.005964306275187105
take action 3
gain reward -0.049763960852043786
take action 2
gain reward -0.041358664363845686
take action 5
gain reward -0.049073114565342545
take action 4
gain reward -0.0434312032239493
take action 0
gain reward -0.5012320092112837
take action 6
gain reward 0
take action 6
gain reward 0
take action 5
gain reward -0.049073114565342545
take action 6
gain reward 0
take action 5
gain reward -0.049073114565342545
take action 0
gain reward -0.4928267127230859
take action 4
gain reward 0.2350949913644215
take action 1
gain reward -0.048727691421991924
take action 1
gain reward -0.049073114565342545
take action 6
gain reward 0
take action 3
gain reward 0.3433275762809442
take action 3
gain reward -0.010961427748992524
take action 6
gain reward 0
take action 1
gain reward -0.04331606217616576
take action 1
gain reward -0.049073114565342545
take action 4
gain reward -0.05275762809441561
take action 7
gain reward -0.047691421991940174
take action 0
gain reward -0.15016695451928616
take action 4
gain reward 0.0032009211283822517
take action 6
gain reward 0
take action 0
gain reward -0.14556131260794467
take action 0
gain reward -0.5012320092112837
take action 4
gain reward 0.4662982153137593
take action 4
gain reward 0.09128382268278637
take action 6
gain reward 0
take action 1
gain reward -0.048036845135290794
take action 5
gain reward -0.049073114565342545
take action 3
gain reward -0.01890616004605635
take action 7
gain reward 0.035210132412204866
take action 4
gain reward -0.01856073690270573
take action 6
gain reward 0
take action 4
gain reward -0.04492803684513532
take action 0
gain reward -0.5012320092112837
take action 1
gain reward -0.04677029360967196
take action 2
gain reward 0.149775474956822
take action 4
gain reward 0.33308002302820966
take action 6
gain reward 0
take action 2
gain reward 0.062153137593552156
take action 6
gain reward 0
take action 6
gain reward 0
take action 2
gain reward -0.03652274035693722
take action 3
gain reward -0.07233160621761667
take action 4
gain reward -0.020402993667242374
take action 6
gain reward 0
take action 5
gain reward -0.049073114565342545
take action 4
gain reward 0.05547495682210705
take action 7
gain reward -0.03755900978698908
take action 0
gain reward -0.1840184225676453
take action 5
gain reward -0.049073114565342545
take action 4
gain reward 0.09588946459412775
take action 4
gain reward -0.022475532527345986
take action 1
gain reward -0.04803684513529068
take action 6
gain reward 0
take action 7
gain reward -0.04412204951065054
take action 5
gain reward -0.049073114565342545
take action 0
gain reward -0.5012320092112837
take action 6
gain reward 0
take action 6
gain reward 0
take action 7
gain reward 0.1787910189982728
take action 2
